Benchmark	Ref_Time	Run_Time	Ratio
164.gzip	1400	43.7	3204
175.vpr	1400	26.0	5383
176.gcc	1100	11.2	9850
181.mcf	1800	12.9	14007
186.crafty	1000	12.8	7815
197.parser	1800	31.2	5764
252.eon	1300	15.7	8292
254.gap	1100	13.0	8480
255.vortex	1900	19.3	9858
256.bzip2	1500	28.9	5188
300.twolf	3000	38.0	7896
