Benchmark	Peak_Ref_Time	Peak_Run_Time	Peak_Ratio
164.gzip	1400	63.9	2191
175.vpr	1400	45.1	3101
176.gcc	1100	22.1	4967
181.mcf	1800	23.9	7533
186.crafty	1000	29.1	3440
197.parser	1800	56.5	3185
252.eon	1300	102	1272
254.gap	1100	29.7	3699
255.vortex	1900	29.8	6386
256.bzip2	1500	57.8	2594
300.twolf	3000	82.7	3630
