Benchmark	Ref_Time	Run_Time	Ratio
164.gzip	1400	46.9	2985
175.vpr	1400	33.9	4128
176.gcc	1100	13.2	8306
181.mcf	1800	16.8	10724
186.crafty	1000	14.7	6820
197.parser	1800	34.9	5160
252.eon	1300	13.6	9557
254.gap	1100	16.0	6884
255.vortex	1900	18.9	10028
256.bzip2	1500	35.1	4268
300.twolf	3000	42.4	7082
