Benchmark	Peak_Ref_Time	Peak_Run_Time	Peak_Ratio
164.gzip	1400	64.9	2156
175.vpr	1400	41.1	3409
176.gcc	1100	20.4	5401
181.mcf	1800	22.9	7854
186.crafty	1000	28.2	3548
197.parser	1800	55.9	3218
252.eon	1300	97.9	1328
254.gap	1100	28.6	3849
255.vortex	1900	29.7	6403
256.bzip2	1500	56.2	2669
300.twolf	3000	78.8	3805
